"feature","p_value","test_type","decision","reason"
"age",2.2e-16,"t-test","KEEP","Highly significant (p < 2.2e-16)"
"gender",0.52,"t-test","DROP","Not significant (p = 0.52)"
"hypertension",3.6e-09,"t-test & wilcoxon","KEEP","Highly significant, known medical risk factor"
"heart_disease",4.5e-08,"t-test & wilcoxon","KEEP","Highly significant, known medical risk factor"
"ever_married",2.2e-16,"t-test & wilcoxon","KEEP","Significant difference found"
"work_type",4.91e-10,"ANOVA","KEEP","Highly significant overall differences (ANOVA p ≈ 4.91e-10)"
"Residence_type",0.27,"t-test & wilcoxon","DROP","Not significant (p ≈ 0.27)"
"smoking_status",3.23e-06,"ANOVA","KEEP","Significant differences (ANOVA p ≈ 3.23e-06)"
"avg_glucose_level",1.76e-08,"t-test","KEEP","Highly significant (t-test p ≈ 1.76e-08)"
"bmi",0.000185,"t-test","KEEP","Significant (t-test p ≈ 0.000185)"
